stdio    D         file_stdio.c:109  file_stdio_fopen                 [   0.00000] opening F:\C-projects\C-games\blasteroids\SELF-CONTAINED\bin\Debug\allegro5.cfg r
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.34464] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.34465] added dtor for sample_instance 0354FC00, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.34467] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.34467] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.34468] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.34469] added dtor for sample_instance 0354FED0, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.34471] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.34472] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.34473] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.34474] added dtor for sample_instance 0354F1B0, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.34475] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.34476] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.34477] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.34478] added dtor for sample_instance 0354F390, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.34479] sample matrix:
